CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
429, 4, 128, 8, 4, 0,
430, 4, 128, 8, 4, 1,
431, 4, 128, 8, 4, 2,
432, 8, 64, 8, 4, 0,
433, 8, 64, 8, 4, 1,
434, 8, 64, 8, 4, 2,
435, 16, 32, 8, 4, 0,
436, 16, 32, 8, 4, 1,
437, 16, 32, 8, 4, 2,
438, 32, 16, 8, 4, 0,
439, 32, 16, 8, 4, 1,
440, 32, 16, 8, 4, 2,
441, 64, 8, 8, 4, 0,
442, 64, 8, 8, 4, 1,
443, 64, 8, 8, 4, 2,
444, 128, 4, 8, 4, 0,
445, 128, 4, 8, 4, 1,
446, 128, 4, 8, 4, 2,
447, 4, 128, 16, 2, 0,
448, 4, 128, 16, 2, 1,
449, 4, 128, 16, 2, 2,
450, 8, 64, 16, 2, 0,
451, 8, 64, 16, 2, 1,
452, 8, 64, 16, 2, 2,
453, 16, 32, 16, 2, 0,
454, 16, 32, 16, 2, 1,
455, 16, 32, 16, 2, 2,
456, 32, 16, 16, 2, 0,
457, 32, 16, 16, 2, 1,
458, 32, 16, 16, 2, 2,
459, 64, 8, 16, 2, 0,
460, 64, 8, 16, 2, 1,
461, 64, 8, 16, 2, 2,
462, 128, 4, 16, 2, 0,
463, 128, 4, 16, 2, 1,
464, 128, 4, 16, 2, 2,
465, 4, 128, 32, 1, 0,
466, 4, 128, 32, 1, 1,
467, 4, 128, 32, 1, 2,
468, 8, 64, 32, 1, 0,
469, 8, 64, 32, 1, 1,
470, 8, 64, 32, 1, 2,
471, 16, 32, 32, 1, 0,
472, 16, 32, 32, 1, 1,
473, 16, 32, 32, 1, 2,
474, 32, 16, 32, 1, 0,
475, 32, 16, 32, 1, 1,
476, 32, 16, 32, 1, 2,
477, 64, 8, 32, 1, 0,
478, 64, 8, 32, 1, 1,
479, 64, 8, 32, 1, 2,
480, 128, 4, 32, 1, 0,
481, 128, 4, 32, 1, 1,
482, 128, 4, 32, 1, 2,
483, 4, 256, 1, 16, 0,
484, 4, 256, 1, 16, 1,
485, 4, 256, 1, 16, 2,
486, 8, 128, 1, 16, 0,
487, 8, 128, 1, 16, 1,
488, 8, 128, 1, 16, 2,
489, 16, 64, 1, 16, 0,
490, 16, 64, 1, 16, 1,
491, 16, 64, 1, 16, 2,
492, 32, 32, 1, 16, 0,
493, 32, 32, 1, 16, 1,
494, 32, 32, 1, 16, 2,
495, 64, 16, 1, 16, 0,
496, 64, 16, 1, 16, 1,
497, 64, 16, 1, 16, 2,
498, 128, 8, 1, 16, 0,
499, 128, 8, 1, 16, 1,
500, 128, 8, 1, 16, 2,
501, 256, 4, 1, 16, 0,
502, 256, 4, 1, 16, 1,
503, 256, 4, 1, 16, 2,
504, 4, 256, 2, 8, 0,
505, 4, 256, 2, 8, 1,
506, 4, 256, 2, 8, 2,
